id,longitude_dd,latitude_dd,stream_order
S13R,-121.086972,47.420551,4
S14,-121.087854,47.41986,4
S15,-121.106919,47.363498,2
S17R,-121.10174,47.394429,3
S18R,-121.096933,47.39603,5
S19,-120.904118,47.258225,3
S19E,-120.878922,47.255067,4
S20R,-121.01556,47.19028,5
S21R,-121.043826,47.185797,5
S23,-120.918817,47.185944,6
S24R,-121.108406,47.354254,5
S25,-120.897057,47.262537,3
S26R,-120.834427,47.168488,5
S27R,-121.176851,47.260155,2
S28R,-120.73804,47.124215,4
S28RE,-120.73817,47.123516,6
S29R,-120.733369,47.082159,4
S30R,-120.5482254,46.09521496,4
S31,-120.480969,46.205978,4
S32,-120.41915470000001,46.23559571,5
S36,-120.199171,46.314573,5
S37,-120.611858,46.028244,3
S38,-120.636526,46.029003,2
S39,-120.649701,46.016704,2
S49R,-120.813351,46.724267,5
S50,-120.521815,46.631447,6
S51,-120.803616,46.729878,5
S55,-120.805047,46.663547,4
S56,-120.626954,46.620687,4
S63,-120.573226,46.041823,4
S67,-120.483696,46.855643,6
S68,-120.484841,46.855711,3
S71,-120.691204,46.968185,4
S72,-120.590443,46.99491,4
S73,-120.5710861,46.98778012,6
S75,-120.51748,47.017577,4
S77,-120.583712,46.625578,4
S79,-120.456432,46.763844,6
S82,-120.480372,46.53837,4
S83,-121.227415,47.239586,3
T02,-119.999901,46.232095,7
T03,-120.470337,46.530817,7
T05,-120.713733,46.728776,6
T07,-119.47405,46.255319,7
