site_id,stream_order,lat,long,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu,(comids$COMID)
S13R,4,47.420551,-121.086972,21.2063639254273,42.33093973,1.4370929,24125883
S14,4,47.41986,-121.087854,42.749277342749096,24.79009001,1.3633813,24125883
S15,2,47.363498,-121.106919,22.1766314767414,14.477327,0.6839447,24126041
S17R,3,47.394429,-121.10174,21.21731131190205,48.66764834,1.3633813,24125999
S18R,5,47.39603,-121.096933,22.596196587294102,91.7347576,2.238602,24125873
S19,3,47.258225,-120.904118,27.517364210985,8.821904652,1.6317056,24125729
S19E,4,47.255067,-120.878922,12.7880513839529,22.45103372,0.5224068,24125633
S20R,5,47.19028,-121.01556,21.0268834057083,49.71805342,1.5836164,24125811
S21R,5,47.185797,-121.043826,16.0921105803444,13.965597,1.9475806,24126061
S23,6,47.185944,-120.918817,14.3364793160167,65.5549375,1.9481776,24125789
S24R,5,47.354254,-121.108406,27.626575246036698,117.6877963,2.3492994,24125859
S25,3,47.262537,-120.897057,25.994112456914603,8.220336681,0.3911214,24125699
S26R,5,47.168488,-120.834427,29.580179716622403,48.26868896,1.4357215,947030170
S27R,2,47.260155,-121.176851,19.2566260795338,8.017718257,1.6319832,24126823
S28R,4,47.124215,-120.73804,16.411359718804903,0.0048204,2.3612242,24131037
S28RE,6,47.123516,-120.73817,41.5894679995977,0.0969155,1.9526943,24125567
S29R,4,47.082159,-120.733369,11.5987857019604,37.61957346,0.9511203,24126251
S30R,4,46.09521496,-120.5482254,20.917135357353697,3.432751697,1.0242773,23100398
S31,4,46.205978,-120.480969,18.1577057887267,3.430043875,0.605099,23100338
S32,5,46.23559571,-120.41915470000001,22.29555174382395,2.0958457,1.2134471,23100328
S36,5,46.314573,-120.199171,22.0617175042219,0.4924213,0.663722,23100020
S37,3,46.028244,-120.611858,23.20040119230065,2.184004552,0.5007477,23100428
S38,2,46.029003,-120.636526,24.9719804378702,1.961461408,1.496712,23105314
S39,2,46.016704,-120.649701,28.885563844731998,1.891390454,2.1839554,23100434
S49R,5,46.724267,-120.813351,27.1662954706747,41.76372637,0.7623739,24423655
S51,5,46.729878,-120.803616,19.2237535615702,41.76372637,0.7623739,24423233
S55,4,46.663547,-120.805047,24.6055635985035,4.707493925,1.2141032,24423517
S56,4,46.620687,-120.626954,18.0934234830746,1.452887896,0.2818825,24423479
S63,4,46.041823,-120.573226,29.3361589196677,4.070785795,0.59107137,23100404
S71,4,46.968185,-120.691204,37.488461670226,36.4101646,0.9767226,24126327
S72,4,46.99491,-120.590443,26.6719774564992,33.77814872,1.3541058,24126315
S75,4,47.017577,-120.51748,22.2757491010227,3.3254298,3.3759937,24128685
S77,4,46.625578,-120.583712,44.9151503513161,1.452887896,0.2818825,24423479
S82,4,46.53837,-120.480372,17.88155053504665,0.8623335,0.2169893,23099884
S83,3,47.239586,-121.227415,29.6576290461662,24.25640589,0.6670102,24126203
T02,7,46.232095,-119.999901,20.5530111701424,0.6258384,0.28501967,23099678
T03,7,46.530817,-120.470337,16.2336289527981,2.0336484,0.94312614,23099844
T07,7,46.255319,-119.47405,11.7987418039215,5.1026399,0.42117113,947030105
U20,3,46.898654,-120.642142,16.95995754461835,2.724905748,1.3775169,24126427
W20,4,46.648074,-121.297724,51.34377379898105,34.28728652,0.32813686,24423347
