site_id,stream_order,comid,ks_match
S13R,4,24125883,TRUE
S14,4,24125945,TRUE
S15,2,24126041,TRUE
S17R,3,24125999,TRUE
S18R,5,24125873,TRUE
S19,3,24125729,TRUE
S19E,4,24125633,TRUE
S20R,5,24125811,TRUE
S21R,5,24126061,TRUE
S23,6,24125789,TRUE
S24R,5,24125859,TRUE
S25,3,24125699,TRUE
S26R,5,947030170,FALSE
S27R,2,24126823,TRUE
S28R,4,24131037,TRUE
S28RE,6,24131041,TRUE
S29R,4,24126251,TRUE
S30R,4,23100398,TRUE
S31,4,23100338,TRUE
S32,5,23100328,TRUE
S36,5,23100020,TRUE
S37,3,23100428,TRUE
S38,2,23105314,TRUE
S39,2,23100434,TRUE
S49R,5,24423233,TRUE
S51,5,24423233,TRUE
S55,4,24423517,TRUE
S56,4,24423479,TRUE
S63,4,23100404,TRUE
S71,4,24126327,TRUE
S72,4,24126315,TRUE
S75,4,24128685,FALSE
S77,4,24423479,TRUE
S82,4,23099884,TRUE
S83,3,24126203,TRUE
T02,7,23099678,TRUE
T03,7,23099844,TRUE
T07,7,947030105,FALSE
U20,3,24126427,TRUE
W20,4,24126487,TRUE
