COMID,logSlope,stream_order,site_id,d50_mm_nexss,d50_mm_abeshu
24125883,-1.65483023,4,S13R,42.33093973,1.4370929
24125945,-1.952970978,4,S14,24.79009001,1.3633813
24126041,-1.064161547,2,S15,14.477327,0.6839447
24125999,-1.89155642,3,S17R,48.66764834,1.3633813
24125873,-2.019462615,5,S18R,91.7347576,2.238602
24125729,-2.060068114,3,S19,8.821904652,1.6317056
24125633,-2.067962779,4,S19E,22.45103372,0.5224068
24125811,-2.326549621,5,S20R,49.71805342,1.5836164
24126061,-2.892657726,5,S21R,13.965597,1.9475806
24125789,-2.617435479,6,S23,65.5549375,1.9481776
24125859,-2.085370758,5,S24R,117.6877963,2.3492994
24125699,-1.788444314,3,S25,8.220336681,0.3911214
947030170,-2.063689378,5,S26R,48.26868896,1.4357215
24126823,-1.181965423,2,S27R,8.017718257,1.6319832
24131037,-5,4,S28R,0.0048204,2.3612242
24125567,-5,6,S28RE,0.0969155,1.9526943
24126251,-1.743813544,4,S29R,37.61957346,0.9511203
23100398,-1.939283278,4,S30R,3.432751697,1.0242773
23100338,-1.950643568,4,S31,3.430043875,0.605099
23100328,-2.286560702,5,S32,2.0958457,1.2134471
23100020,-2.765427041,5,S36,0.4924213,0.663722
23100428,-1.712578332,3,S37,2.184004552,0.5007477
23105314,-1.543511288,2,S38,1.961461408,1.496712
23100434,-1.563518192,2,S39,1.891390454,2.1839554
24423233,-2.034050808,5,S49R,41.76372637,0.7623739
24423233,-2.034050808,5,S51,41.76372637,0.7623739
24423517,-1.716506322,4,S55,4.707493925,1.2141032
24423479,-1.957685615,4,S56,1.452887896,0.2818825
23100404,-1.738636006,4,S63,4.070785795,0.59107137
24126327,-1.747328489,4,S71,36.4101646,0.9767226
24126315,-1.759538119,4,S72,33.77814872,1.3541058
24131135,-2.099210254,4,S75,3.3254298,3.3759937
24423479,-1.957685615,4,S77,1.452887896,0.2818825
23099884,-2.425937464,4,S82,0.8623335,0.2169893
24126203,-1.769044782,3,S83,24.25640589,0.6670102
23099678,-3.394824292,7,T02,0.6258384,0.28501967
23099844,-3.071885916,7,T03,2.0336484,0.94312614
947030105,-2.7646155,7,T07,5.1026399,0.42117113
24126427,-1.889850531,3,U20,2.724905748,1.3775169
24126487,-1.740884156,4,W20,34.28728652,0.32813686
